"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"4213609";"Porto União (SC)";"Total";"Total";"1";"Total";"1354"
"4213708";"Pouso Redondo (SC)";"Total";"Total";"1";"Total";"1180"
"4213807";"Praia Grande (SC)";"Total";"Total";"1";"Total";"344"
"4213906";"Presidente Castello Branco (SC)";"Total";"Total";"1";"Total";"261"
"4214003";"Presidente Getúlio (SC)";"Total";"Total";"1";"Total";"1019"
"4214102";"Presidente Nereu (SC)";"Total";"Total";"1";"Total";"364"
"4214151";"Princesa (SC)";"Total";"Total";"1";"Total";"379"
"4214201";"Quilombo (SC)";"Total";"Total";"1";"Total";"1162"
"4214300";"Rancho Queimado (SC)";"Total";"Total";"1";"Total";"353"
"4214409";"Rio das Antas (SC)";"Total";"Total";"1";"Total";"696"
"4214508";"Rio do Campo (SC)";"Total";"Total";"1";"Total";"901"
"4214607";"Rio do Oeste (SC)";"Total";"Total";"1";"Total";"770"
"4214706";"Rio dos Cedros (SC)";"Total";"Total";"1";"Total";"786"
"4214805";"Rio do Sul (SC)";"Total";"Total";"1";"Total";"689"
"4214904";"Rio Fortuna (SC)";"Total";"Total";"1";"Total";"732"
"4215000";"Rio Negrinho (SC)";"Total";"Total";"1";"Total";"824"
"4215059";"Rio Rufino (SC)";"Total";"Total";"1";"Total";"306"
"4215075";"Riqueza (SC)";"Total";"Total";"1";"Total";"690"
"4215109";"Rodeio (SC)";"Total";"Total";"1";"Total";"467"
"4215208";"Romelândia (SC)";"Total";"Total";"1";"Total";"811"
"4215307";"Salete (SC)";"Total";"Total";"1";"Total";"713"
"4215356";"Saltinho (SC)";"Total";"Total";"1";"Total";"610"
"4215406";"Salto Veloso (SC)";"Total";"Total";"1";"Total";"272"
"4215455";"Sangão (SC)";"Total";"Total";"1";"Total";"202"
"4215505";"Santa Cecília (SC)";"Total";"Total";"1";"Total";"358"
"4215554";"Santa Helena (SC)";"Total";"Total";"1";"Total";"331"
"4215604";"Santa Rosa de Lima (SC)";"Total";"Total";"1";"Total";"449"
"4215653";"Santa Rosa do Sul (SC)";"Total";"Total";"1";"Total";"537"
"4215679";"Santa Terezinha (SC)";"Total";"Total";"1";"Total";"2198"
"4215687";"Santa Terezinha do Progresso (SC)";"Total";"Total";"1";"Total";"550"
"4215695";"Santiago do Sul (SC)";"Total";"Total";"1";"Total";"215"
"4215703";"Santo Amaro da Imperatriz (SC)";"Total";"Total";"1";"Total";"435"
"4215752";"São Bernardino (SC)";"Total";"Total";"1";"Total";"446"
"4215802";"São Bento do Sul (SC)";"Total";"Total";"1";"Total";"476"
"4215901";"São Bonifácio (SC)";"Total";"Total";"1";"Total";"530"
"4216008";"São Carlos (SC)";"Total";"Total";"1";"Total";"834"
"4216057";"São Cristóvão do Sul (SC)";"Total";"Total";"1";"Total";"178"
"4216107";"São Domingos (SC)";"Total";"Total";"1";"Total";"653"
"4216206";"São Francisco do Sul (SC)";"Total";"Total";"1";"Total";"168"
"4216255";"São João do Oeste (SC)";"Total";"Total";"1";"Total";"777"
"4216305";"São João Batista (SC)";"Total";"Total";"1";"Total";"578"
"4216354";"São João do Itaperiú (SC)";"Total";"Total";"1";"Total";"283"
"4216404";"São João do Sul (SC)";"Total";"Total";"1";"Total";"728"
"4216503";"São Joaquim (SC)";"Total";"Total";"1";"Total";"2360"
"4216602";"São José (SC)";"Total";"Total";"1";"Total";"107"
"4216701";"São José do Cedro (SC)";"Total";"Total";"1";"Total";"1137"
"4216800";"São José do Cerrito (SC)";"Total";"Total";"1";"Total";"2063"
"4216909";"São Lourenço do Oeste (SC)";"Total";"Total";"1";"Total";"1270"
"4217006";"São Ludgero (SC)";"Total";"Total";"1";"Total";"377"
"4217105";"São Martinho (SC)";"Total";"Total";"1";"Total";"452"
"4217154";"São Miguel da Boa Vista (SC)";"Total";"Total";"1";"Total";"397"
"4217204";"São Miguel do Oeste (SC)";"Total";"Total";"1";"Total";"878"
"4217253";"São Pedro de Alcântara (SC)";"Total";"Total";"1";"Total";"323"
"4217303";"Saudades (SC)";"Total";"Total";"1";"Total";"1120"
"4217402";"Schroeder (SC)";"Total";"Total";"1";"Total";"229"
"4217501";"Seara (SC)";"Total";"Total";"1";"Total";"1193"
"4217550";"Serra Alta (SC)";"Total";"Total";"1";"Total";"427"
"4217600";"Siderópolis (SC)";"Total";"Total";"1";"Total";"427"
"4217709";"Sombrio (SC)";"Total";"Total";"1";"Total";"602"
"4217758";"Sul Brasil (SC)";"Total";"Total";"1";"Total";"502"
"4217808";"Taió (SC)";"Total";"Total";"1";"Total";"1400"
"4217907";"Tangará (SC)";"Total";"Total";"1";"Total";"840"
"4217956";"Tigrinhos (SC)";"Total";"Total";"1";"Total";"285"
"4218004";"Tijucas (SC)";"Total";"Total";"1";"Total";"445"
"4218103";"Timbé do Sul (SC)";"Total";"Total";"1";"Total";"392"
"4218202";"Timbó (SC)";"Total";"Total";"1";"Total";"321"
"4218251";"Timbó Grande (SC)";"Total";"Total";"1";"Total";"731"
"4218301";"Três Barras (SC)";"Total";"Total";"1";"Total";"393"
"4218350";"Treviso (SC)";"Total";"Total";"1";"Total";"175"
"4218400";"Treze de Maio (SC)";"Total";"Total";"1";"Total";"604"
"4218509";"Treze Tílias (SC)";"Total";"Total";"1";"Total";"431"
"4218608";"Trombudo Central (SC)";"Total";"Total";"1";"Total";"266"
"4218707";"Tubarão (SC)";"Total";"Total";"1";"Total";"990"
"4218756";"Tunápolis (SC)";"Total";"Total";"1";"Total";"548"
"4218806";"Turvo (SC)";"Total";"Total";"1";"Total";"661"
"4218855";"União do Oeste (SC)";"Total";"Total";"1";"Total";"422"
"4218905";"Urubici (SC)";"Total";"Total";"1";"Total";"658"
"4218954";"Urupema (SC)";"Total";"Total";"1";"Total";"322"
"4219002";"Urussanga (SC)";"Total";"Total";"1";"Total";"660"
"4219101";"Vargeão (SC)";"Total";"Total";"1";"Total";"337"
"4219150";"Vargem (SC)";"Total";"Total";"1";"Total";"714"
"4219176";"Vargem Bonita (SC)";"Total";"Total";"1";"Total";"326"
"4219200";"Vidal Ramos (SC)";"Total";"Total";"1";"Total";"1049"
"4219309";"Videira (SC)";"Total";"Total";"1";"Total";"1047"
"4219358";"Vitor Meireles (SC)";"Total";"Total";"1";"Total";"793"
"4219408";"Witmarsum (SC)";"Total";"Total";"1";"Total";"645"
"4219507";"Xanxerê (SC)";"Total";"Total";"1";"Total";"711"
"4219606";"Xavantina (SC)";"Total";"Total";"1";"Total";"738"
"4219705";"Xaxim (SC)";"Total";"Total";"1";"Total";"923"
"4219853";"Zortéa (SC)";"Total";"Total";"1";"Total";"257"
"4220000";"Balneário Rincão (SC)";"Total";"Total";"1";"Total";"85"
"4300034";"Aceguá (RS)";"Total";"Total";"1";"Total";"806"
"4300059";"Água Santa (RS)";"Total";"Total";"1";"Total";"579"
"4300109";"Agudo (RS)";"Total";"Total";"1";"Total";"2073"
"4300208";"Ajuricaba (RS)";"Total";"Total";"1";"Total";"753"
"4300307";"Alecrim (RS)";"Total";"Total";"1";"Total";"1358"
"4300406";"Alegrete (RS)";"Total";"Total";"1";"Total";"2671"
"4300455";"Alegria (RS)";"Total";"Total";"1";"Total";"720"
"4300471";"Almirante Tamandaré do Sul (RS)";"Total";"Total";"1";"Total";"422"
"4300505";"Alpestre (RS)";"Total";"Total";"1";"Total";"1417"
"4300554";"Alto Alegre (RS)";"Total";"Total";"1";"Total";"391"
"4300570";"Alto Feliz (RS)";"Total";"Total";"1";"Total";"443"
"4300604";"Alvorada (RS)";"Total";"Total";"1";"Total";"27"
"4300638";"Amaral Ferrador (RS)";"Total";"Total";"1";"Total";"1062"
"4300646";"Ametista do Sul (RS)";"Total";"Total";"1";"Total";"645"
"4300661";"André da Rocha (RS)";"Total";"Total";"1";"Total";"245"
"4300703";"Anta Gorda (RS)";"Total";"Total";"1";"Total";"939"
"4300802";"Antônio Prado (RS)";"Total";"Total";"1";"Total";"1036"
"4300851";"Arambaré (RS)";"Total";"Total";"1";"Total";"171"
"4300877";"Araricá (RS)";"Total";"Total";"1";"Total";"58"
"4300901";"Aratiba (RS)";"Total";"Total";"1";"Total";"950"
"4301008";"Arroio do Meio (RS)";"Total";"Total";"1";"Total";"809"
"4301057";"Arroio do Sal (RS)";"Total";"Total";"1";"Total";"67"
"4301073";"Arroio do Padre (RS)";"Total";"Total";"1";"Total";"427"
"4301107";"Arroio dos Ratos (RS)";"Total";"Total";"1";"Total";"395"
"4301206";"Arroio do Tigre (RS)";"Total";"Total";"1";"Total";"1940"
"4301305";"Arroio Grande (RS)";"Total";"Total";"1";"Total";"961"
"4301404";"Arvorezinha (RS)";"Total";"Total";"1";"Total";"1231"
"4301503";"Augusto Pestana (RS)";"Total";"Total";"1";"Total";"922"
"4301552";"Áurea (RS)";"Total";"Total";"1";"Total";"661"
"4301602";"Bagé (RS)";"Total";"Total";"1";"Total";"1127"
"4301636";"Balneário Pinhal (RS)";"Total";"Total";"1";"Total";"19"
"4301651";"Barão (RS)";"Total";"Total";"1";"Total";"734"
"4301701";"Barão de Cotegipe (RS)";"Total";"Total";"1";"Total";"1030"
"4301750";"Barão do Triunfo (RS)";"Total";"Total";"1";"Total";"1775"
"4301800";"Barracão (RS)";"Total";"Total";"1";"Total";"1021"
"4301859";"Barra do Guarita (RS)";"Total";"Total";"1";"Total";"213"
"4301875";"Barra do Quaraí (RS)";"Total";"Total";"1";"Total";"146"
"4301909";"Barra do Ribeiro (RS)";"Total";"Total";"1";"Total";"497"
"4301925";"Barra do Rio Azul (RS)";"Total";"Total";"1";"Total";"451"
"4301958";"Barra Funda (RS)";"Total";"Total";"1";"Total";"234"
"4302006";"Barros Cassal (RS)";"Total";"Total";"1";"Total";"1662"
"4302055";"Benjamin Constant do Sul (RS)";"Total";"Total";"1";"Total";"390"
"4302105";"Bento Gonçalves (RS)";"Total";"Total";"1";"Total";"1128"
"4302154";"Boa Vista das Missões (RS)";"Total";"Total";"1";"Total";"239"
"4302204";"Boa Vista do Buricá (RS)";"Total";"Total";"1";"Total";"542"
"4302220";"Boa Vista do Cadeado (RS)";"Total";"Total";"1";"Total";"521"
"4302238";"Boa Vista do Incra (RS)";"Total";"Total";"1";"Total";"346"
"4302253";"Boa Vista do Sul (RS)";"Total";"Total";"1";"Total";"886"
"4302303";"Bom Jesus (RS)";"Total";"Total";"1";"Total";"916"
"4302352";"Bom Princípio (RS)";"Total";"Total";"1";"Total";"616"
"4302378";"Bom Progresso (RS)";"Total";"Total";"1";"Total";"211"
"4302402";"Bom Retiro do Sul (RS)";"Total";"Total";"1";"Total";"341"
"4302451";"Boqueirão do Leão (RS)";"Total";"Total";"1";"Total";"1315"
"4302501";"Bossoroca (RS)";"Total";"Total";"1";"Total";"934"
"4302584";"Bozano (RS)";"Total";"Total";"1";"Total";"363"
"4302600";"Braga (RS)";"Total";"Total";"1";"Total";"380"
"4302659";"Brochier (RS)";"Total";"Total";"1";"Total";"710"
"4302709";"Butiá (RS)";"Total";"Total";"1";"Total";"339"
"4302808";"Caçapava do Sul (RS)";"Total";"Total";"1";"Total";"2653"
"4302907";"Cacequi (RS)";"Total";"Total";"1";"Total";"465"
"4303004";"Cachoeira do Sul (RS)";"Total";"Total";"1";"Total";"2780"
"4303103";"Cachoeirinha (RS)";"Total";"Total";"1";"Total";"6"
"4303202";"Cacique Doble (RS)";"Total";"Total";"1";"Total";"900"
"4303301";"Caibaté (RS)";"Total";"Total";"1";"Total";"565"
"4303400";"Caiçara (RS)";"Total";"Total";"1";"Total";"936"
"4303509";"Camaquã (RS)";"Total";"Total";"1";"Total";"2629"
"4303558";"Camargo (RS)";"Total";"Total";"1";"Total";"437"
"4303608";"Cambará do Sul (RS)";"Total";"Total";"1";"Total";"357"
"4303673";"Campestre da Serra (RS)";"Total";"Total";"1";"Total";"614"
"4303707";"Campina das Missões (RS)";"Total";"Total";"1";"Total";"1126"
"4303806";"Campinas do Sul (RS)";"Total";"Total";"1";"Total";"351"
"4303905";"Campo Bom (RS)";"Total";"Total";"1";"Total";"99"
"4304002";"Campo Novo (RS)";"Total";"Total";"1";"Total";"284"
"4304101";"Campos Borges (RS)";"Total";"Total";"1";"Total";"501"
"4304200";"Candelária (RS)";"Total";"Total";"1";"Total";"3647"
"4304309";"Cândido Godói (RS)";"Total";"Total";"1";"Total";"1347"
"4304358";"Candiota (RS)";"Total";"Total";"1";"Total";"561"
"4304408";"Canela (RS)";"Total";"Total";"1";"Total";"269"
"4304507";"Canguçu (RS)";"Total";"Total";"1";"Total";"8075"
"4304606";"Canoas (RS)";"Total";"Total";"1";"Total";"40"
"4304614";"Canudos do Vale (RS)";"Total";"Total";"1";"Total";"423"
"4304622";"Capão Bonito do Sul (RS)";"Total";"Total";"1";"Total";"369"
"4304630";"Capão da Canoa (RS)";"Total";"Total";"1";"Total";"28"
"4304655";"Capão do Cipó (RS)";"Total";"Total";"1";"Total";"531"
"4304663";"Capão do Leão (RS)";"Total";"Total";"1";"Total";"198"
"4304671";"Capivari do Sul (RS)";"Total";"Total";"1";"Total";"95"
"4304689";"Capela de Santana (RS)";"Total";"Total";"1";"Total";"384"
"4304697";"Capitão (RS)";"Total";"Total";"1";"Total";"340"
"4304705";"Carazinho (RS)";"Total";"Total";"1";"Total";"342"
"4304713";"Caraá (RS)";"Total";"Total";"1";"Total";"1332"
"4304804";"Carlos Barbosa (RS)";"Total";"Total";"1";"Total";"1313"
"4304853";"Carlos Gomes (RS)";"Total";"Total";"1";"Total";"337"
"4304903";"Casca (RS)";"Total";"Total";"1";"Total";"793"
"4304952";"Caseiros (RS)";"Total";"Total";"1";"Total";"358"
"4305009";"Catuípe (RS)";"Total";"Total";"1";"Total";"814"
"4305108";"Caxias do Sul (RS)";"Total";"Total";"1";"Total";"2752"
"4305116";"Centenário (RS)";"Total";"Total";"1";"Total";"577"
"4305124";"Cerrito (RS)";"Total";"Total";"1";"Total";"651"
"4305132";"Cerro Branco (RS)";"Total";"Total";"1";"Total";"715"
"4305157";"Cerro Grande (RS)";"Total";"Total";"1";"Total";"321"
"4305173";"Cerro Grande do Sul (RS)";"Total";"Total";"1";"Total";"1409"
"4305207";"Cerro Largo (RS)";"Total";"Total";"1";"Total";"780"
"4305306";"Chapada (RS)";"Total";"Total";"1";"Total";"1165"
"4305355";"Charqueadas (RS)";"Total";"Total";"1";"Total";"137"
"4305371";"Charrua (RS)";"Total";"Total";"1";"Total";"490"
"4305405";"Chiapetta (RS)";"Total";"Total";"1";"Total";"417"
"4305439";"Chuí (RS)";"Total";"Total";"1";"Total";"80"
"4305447";"Chuvisca (RS)";"Total";"Total";"1";"Total";"1012"
"4305454";"Cidreira (RS)";"Total";"Total";"1";"Total";"59"
"4305504";"Ciríaco (RS)";"Total";"Total";"1";"Total";"642"
"4305587";"Colinas (RS)";"Total";"Total";"1";"Total";"346"
"4305603";"Colorado (RS)";"Total";"Total";"1";"Total";"424"
"4305702";"Condor (RS)";"Total";"Total";"1";"Total";"579"
"4305801";"Constantina (RS)";"Total";"Total";"1";"Total";"824"
"4305835";"Coqueiro Baixo (RS)";"Total";"Total";"1";"Total";"362"
"4305850";"Coqueiros do Sul (RS)";"Total";"Total";"1";"Total";"427"
"4305871";"Coronel Barros (RS)";"Total";"Total";"1";"Total";"399"
"4305900";"Coronel Bicaco (RS)";"Total";"Total";"1";"Total";"753"
"4305934";"Coronel Pilar (RS)";"Total";"Total";"1";"Total";"521"
"4305959";"Cotiporã (RS)";"Total";"Total";"1";"Total";"527"
"4305975";"Coxilha (RS)";"Total";"Total";"1";"Total";"351"
"4306007";"Crissiumal (RS)";"Total";"Total";"1";"Total";"1592"
"4306056";"Cristal (RS)";"Total";"Total";"1";"Total";"591"
"4306072";"Cristal do Sul (RS)";"Total";"Total";"1";"Total";"449"
"4306106";"Cruz Alta (RS)";"Total";"Total";"1";"Total";"580"
"4306130";"Cruzaltense (RS)";"Total";"Total";"1";"Total";"493"
"4306205";"Cruzeiro do Sul (RS)";"Total";"Total";"1";"Total";"1050"
"4306304";"David Canabarro (RS)";"Total";"Total";"1";"Total";"689"
"4306320";"Derrubadas (RS)";"Total";"Total";"1";"Total";"542"
"4306353";"Dezesseis de Novembro (RS)";"Total";"Total";"1";"Total";"797"
"4306379";"Dilermando de Aguiar (RS)";"Total";"Total";"1";"Total";"488"
"4306403";"Dois Irmãos (RS)";"Total";"Total";"1";"Total";"221"
"4306429";"Dois Irmãos das Missões (RS)";"Total";"Total";"1";"Total";"217"
"4306452";"Dois Lajeados (RS)";"Total";"Total";"1";"Total";"476"
"4306502";"Dom Feliciano (RS)";"Total";"Total";"1";"Total";"2691"
"4306551";"Dom Pedro de Alcântara (RS)";"Total";"Total";"1";"Total";"266"
"4306601";"Dom Pedrito (RS)";"Total";"Total";"1";"Total";"1119"
"4306700";"Dona Francisca (RS)";"Total";"Total";"1";"Total";"311"
"4306734";"Doutor Maurício Cardoso (RS)";"Total";"Total";"1";"Total";"798"
"4306759";"Doutor Ricardo (RS)";"Total";"Total";"1";"Total";"450"
"4306767";"Eldorado do Sul (RS)";"Total";"Total";"1";"Total";"332"
"4306809";"Encantado (RS)";"Total";"Total";"1";"Total";"580"
"4306908";"Encruzilhada do Sul (RS)";"Total";"Total";"1";"Total";"2051"
"4306924";"Engenho Velho (RS)";"Total";"Total";"1";"Total";"156"
"4306932";"Entre-Ijuís (RS)";"Total";"Total";"1";"Total";"954"
"4306957";"Entre Rios do Sul (RS)";"Total";"Total";"1";"Total";"255"
"4306973";"Erebango (RS)";"Total";"Total";"1";"Total";"348"
"4307005";"Erechim (RS)";"Total";"Total";"1";"Total";"1082"
"4307054";"Ernestina (RS)";"Total";"Total";"1";"Total";"461"
"4307104";"Herval (RS)";"Total";"Total";"1";"Total";"1141"
"4307203";"Erval Grande (RS)";"Total";"Total";"1";"Total";"671"
"4307302";"Erval Seco (RS)";"Total";"Total";"1";"Total";"1219"
"4307401";"Esmeralda (RS)";"Total";"Total";"1";"Total";"396"
"4307450";"Esperança do Sul (RS)";"Total";"Total";"1";"Total";"558"
"4307500";"Espumoso (RS)";"Total";"Total";"1";"Total";"1162"
"4307559";"Estação (RS)";"Total";"Total";"1";"Total";"231"
"4307609";"Estância Velha (RS)";"Total";"Total";"1";"Total";"107"
"4307708";"Esteio (RS)";"Total";"Total";"1";"Total";"1"
"4307807";"Estrela (RS)";"Total";"Total";"1";"Total";"968"
"4307815";"Estrela Velha (RS)";"Total";"Total";"1";"Total";"681"
"4307831";"Eugênio de Castro (RS)";"Total";"Total";"1";"Total";"431"
"4307864";"Fagundes Varela (RS)";"Total";"Total";"1";"Total";"315"
"4307906";"Farroupilha (RS)";"Total";"Total";"1";"Total";"1272"
"4308003";"Faxinal do Soturno (RS)";"Total";"Total";"1";"Total";"507"
"4308052";"Faxinalzinho (RS)";"Total";"Total";"1";"Total";"287"
"4308078";"Fazenda Vilanova (RS)";"Total";"Total";"1";"Total";"280"
"4308102";"Feliz (RS)";"Total";"Total";"1";"Total";"593"
"4308201";"Flores da Cunha (RS)";"Total";"Total";"1";"Total";"1150"
"4308250";"Floriano Peixoto (RS)";"Total";"Total";"1";"Total";"548"
"4308300";"Fontoura Xavier (RS)";"Total";"Total";"1";"Total";"1761"
"4308409";"Formigueiro (RS)";"Total";"Total";"1";"Total";"905"
"4308433";"Forquetinha (RS)";"Total";"Total";"1";"Total";"579"
"4308458";"Fortaleza dos Valos (RS)";"Total";"Total";"1";"Total";"393"
"4308508";"Frederico Westphalen (RS)";"Total";"Total";"1";"Total";"995"
"4308607";"Garibaldi (RS)";"Total";"Total";"1";"Total";"819"
"4308656";"Garruchos (RS)";"Total";"Total";"1";"Total";"571"
"4308706";"Gaurama (RS)";"Total";"Total";"1";"Total";"838"
"4308805";"General Câmara (RS)";"Total";"Total";"1";"Total";"806"
"4308854";"Gentil (RS)";"Total";"Total";"1";"Total";"251"
"4308904";"Getúlio Vargas (RS)";"Total";"Total";"1";"Total";"649"
"4309001";"Giruá (RS)";"Total";"Total";"1";"Total";"1586"
"4309050";"Glorinha (RS)";"Total";"Total";"1";"Total";"638"
"4309100";"Gramado (RS)";"Total";"Total";"1";"Total";"516"
"4309126";"Gramado dos Loureiros (RS)";"Total";"Total";"1";"Total";"344"
"4309159";"Gramado Xavier (RS)";"Total";"Total";"1";"Total";"666"
"4309209";"Gravataí (RS)";"Total";"Total";"1";"Total";"485"
"4309258";"Guabiju (RS)";"Total";"Total";"1";"Total";"275"
"4309308";"Guaíba (RS)";"Total";"Total";"1";"Total";"280"
"4309407";"Guaporé (RS)";"Total";"Total";"1";"Total";"726"
"4309506";"Guarani das Missões (RS)";"Total";"Total";"1";"Total";"930"
"4309555";"Harmonia (RS)";"Total";"Total";"1";"Total";"446"
"4309571";"Herveiras (RS)";"Total";"Total";"1";"Total";"519"
"4309605";"Horizontina (RS)";"Total";"Total";"1";"Total";"905"
"4309654";"Hulha Negra (RS)";"Total";"Total";"1";"Total";"1183"
"4309704";"Humaitá (RS)";"Total";"Total";"1";"Total";"573"
"4309753";"Ibarama (RS)";"Total";"Total";"1";"Total";"1051"
"4309803";"Ibiaçá (RS)";"Total";"Total";"1";"Total";"602"
"4309902";"Ibiraiaras (RS)";"Total";"Total";"1";"Total";"634"
"4309951";"Ibirapuitã (RS)";"Total";"Total";"1";"Total";"483"
"4310009";"Ibirubá (RS)";"Total";"Total";"1";"Total";"1213"
"4310108";"Igrejinha (RS)";"Total";"Total";"1";"Total";"407"
"4310207";"Ijuí (RS)";"Total";"Total";"1";"Total";"1626"
"4310306";"Ilópolis (RS)";"Total";"Total";"1";"Total";"549"
"4310330";"Imbé (RS)";"Total";"Total";"1";"Total";"17"
"4310363";"Imigrante (RS)";"Total";"Total";"1";"Total";"437"
"4310405";"Independência (RS)";"Total";"Total";"1";"Total";"969"
"4310413";"Inhacorá (RS)";"Total";"Total";"1";"Total";"241"
"4310439";"Ipê (RS)";"Total";"Total";"1";"Total";"850"
"4310462";"Ipiranga do Sul (RS)";"Total";"Total";"1";"Total";"414"
"4310504";"Iraí (RS)";"Total";"Total";"1";"Total";"765"
"4310538";"Itaara (RS)";"Total";"Total";"1";"Total";"145"
"4310553";"Itacurubi (RS)";"Total";"Total";"1";"Total";"748"
"4310579";"Itapuca (RS)";"Total";"Total";"1";"Total";"558"
"4310603";"Itaqui (RS)";"Total";"Total";"1";"Total";"478"
"4310652";"Itati (RS)";"Total";"Total";"1";"Total";"339"
"4310702";"Itatiba do Sul (RS)";"Total";"Total";"1";"Total";"698"
"4310751";"Ivorá (RS)";"Total";"Total";"1";"Total";"465"
"4310801";"Ivoti (RS)";"Total";"Total";"1";"Total";"205"
"4310850";"Jaboticaba (RS)";"Total";"Total";"1";"Total";"628"
"4310876";"Jacuizinho (RS)";"Total";"Total";"1";"Total";"571"
"4310900";"Jacutinga (RS)";"Total";"Total";"1";"Total";"328"
"4311007";"Jaguarão (RS)";"Total";"Total";"1";"Total";"614"
"4311106";"Jaguari (RS)";"Total";"Total";"1";"Total";"1552"
"4311122";"Jaquirana (RS)";"Total";"Total";"1";"Total";"546"
"4311130";"Jari (RS)";"Total";"Total";"1";"Total";"945"
"4311155";"Jóia (RS)";"Total";"Total";"1";"Total";"1444"
"4311205";"Júlio de Castilhos (RS)";"Total";"Total";"1";"Total";"976"
"4311239";"Lagoa Bonita do Sul (RS)";"Total";"Total";"1";"Total";"472"
"4311254";"Lagoão (RS)";"Total";"Total";"1";"Total";"1074"
"4311270";"Lagoa dos Três Cantos (RS)";"Total";"Total";"1";"Total";"297"
"4311304";"Lagoa Vermelha (RS)";"Total";"Total";"1";"Total";"1034"
"4311403";"Lajeado (RS)";"Total";"Total";"1";"Total";"388"
"4311429";"Lajeado do Bugre (RS)";"Total";"Total";"1";"Total";"543"
"4311502";"Lavras do Sul (RS)";"Total";"Total";"1";"Total";"869"
"4311601";"Liberato Salzano (RS)";"Total";"Total";"1";"Total";"1178"
"4311627";"Lindolfo Collor (RS)";"Total";"Total";"1";"Total";"143"
"4311643";"Linha Nova (RS)";"Total";"Total";"1";"Total";"329"
"4311700";"Machadinho (RS)";"Total";"Total";"1";"Total";"823"
"4311718";"Maçambará (RS)";"Total";"Total";"1";"Total";"235"
"4311734";"Mampituba (RS)";"Total";"Total";"1";"Total";"445"
"4311759";"Manoel Viana (RS)";"Total";"Total";"1";"Total";"647"
"4311775";"Maquiné (RS)";"Total";"Total";"1";"Total";"532"
"4311791";"Maratá (RS)";"Total";"Total";"1";"Total";"521"
"4311809";"Marau (RS)";"Total";"Total";"1";"Total";"1170"
"4311908";"Marcelino Ramos (RS)";"Total";"Total";"1";"Total";"572"
"4311981";"Mariana Pimentel (RS)";"Total";"Total";"1";"Total";"800"
"4312005";"Mariano Moro (RS)";"Total";"Total";"1";"Total";"257"
"4312054";"Marques de Souza (RS)";"Total";"Total";"1";"Total";"696"
"4312104";"Mata (RS)";"Total";"Total";"1";"Total";"768"
"4312138";"Mato Castelhano (RS)";"Total";"Total";"1";"Total";"452"
"4312153";"Mato Leitão (RS)";"Total";"Total";"1";"Total";"357"
"4312179";"Mato Queimado (RS)";"Total";"Total";"1";"Total";"368"
"4312203";"Maximiliano de Almeida (RS)";"Total";"Total";"1";"Total";"603"
"4312252";"Minas do Leão (RS)";"Total";"Total";"1";"Total";"72"
"4312302";"Miraguaí (RS)";"Total";"Total";"1";"Total";"656"
"4312351";"Montauri (RS)";"Total";"Total";"1";"Total";"320"
"4312377";"Monte Alegre dos Campos (RS)";"Total";"Total";"1";"Total";"639"
"4312385";"Monte Belo do Sul (RS)";"Total";"Total";"1";"Total";"463"
"4312401";"Montenegro (RS)";"Total";"Total";"1";"Total";"1211"
"4312427";"Mormaço (RS)";"Total";"Total";"1";"Total";"485"
"4312443";"Morrinhos do Sul (RS)";"Total";"Total";"1";"Total";"592"
"4312450";"Morro Redondo (RS)";"Total";"Total";"1";"Total";"485"
"4312476";"Morro Reuter (RS)";"Total";"Total";"1";"Total";"360"
"4312500";"Mostardas (RS)";"Total";"Total";"1";"Total";"737"
"4312609";"Muçum (RS)";"Total";"Total";"1";"Total";"356"
"4312617";"Muitos Capões (RS)";"Total";"Total";"1";"Total";"466"
"4312625";"Muliterno (RS)";"Total";"Total";"1";"Total";"350"
"4312658";"Não-Me-Toque (RS)";"Total";"Total";"1";"Total";"500"
"4312674";"Nicolau Vergueiro (RS)";"Total";"Total";"1";"Total";"240"
"4312708";"Nonoai (RS)";"Total";"Total";"1";"Total";"437"
"4312757";"Nova Alvorada (RS)";"Total";"Total";"1";"Total";"468"
"4312807";"Nova Araçá (RS)";"Total";"Total";"1";"Total";"246"
"4312906";"Nova Bassano (RS)";"Total";"Total";"1";"Total";"589"
"4312955";"Nova Boa Vista (RS)";"Total";"Total";"1";"Total";"374"
"4313003";"Nova Bréscia (RS)";"Total";"Total";"1";"Total";"482"
"4313011";"Nova Candelária (RS)";"Total";"Total";"1";"Total";"530"
"4313037";"Nova Esperança do Sul (RS)";"Total";"Total";"1";"Total";"411"
"4313060";"Nova Hartz (RS)";"Total";"Total";"1";"Total";"154"
"4313086";"Nova Pádua (RS)";"Total";"Total";"1";"Total";"384"
